id,name_zh,area,sub_district_zh,address_zh,details
1,Wecare,新界,全港,佢好多分店,屈神賣緊40蚊果d，佢賣到80，仲要係同牌子但寫簡體字！
2,春生厚,九龍,全港,東九各分店,$150/普通成人口罩
3,潮州藥房[香港]有限公司,九龍,九龍城,39號獅子石道九龍城,外科口罩炒到$128一盒
4,榮華藥房,新界,將軍澳,Popcorn 2 level G,賣 doctor mask for professional 冒牌口罩
5,裕隆參茸海味,新界,上水,上水新康街69號,"500蚊一盒8210, 一盒普通口罩80蚊"
6,裕隆參茸海味,新界,上水,上水新康街69號,80一盒普通口罩，500一盒N95(8210)
7,全昌藥房,香港島,上環,香港上環皇后大道中368號偉利大廈地下4號鋪,一盒R95賣$700
8,達成藥房,香港島,中環,中環畢打街環球大廈B地鋪,3M R95 (20隻) $850
9,中環街檔阿伯,香港島,中環,昭隆街,尋日賣$60/盒 2盒$50 今日賣$150/盒
10,創世藥房,九龍,九龍,九龍長沙灣順寧道273號日輝大廈地下G2舖,“救救口罩”本身已經唔值錢，佢襯火打劫賣$120 /盒
11,冠軍藥房有限公司,新界,元朗,元朗青山公路181號地下,元朗冠軍藥房$180/盒 50個
12,智文藥房,新界,元朗,元朗教育路3號,24/1 $180/50pc 大人口罩 $150/50pcs 小童口罩
13,智文,新界,元朗,元朗壽富街興隆中心地下6號舖,口罩賣180蚊一盒
14,永寧藥房,香港島,北角,北角馬寶道,125 一盒50個
15,東城藥房,新界,坑口,坑口重華路8號東港城2樓215號舖,"每日價格不同，由最初$55, 上升到現在$95"
16,智文大藥房,新界,大埔,大埔太和廣場東翼L1樓101H號舖,口罩$198
17,智文,新界,大埔,大埔新達廣場,賣救救口罩
18,智文藥房,新界,大埔,大埔新達廣場,"$220/盒, 50個裝, N95 $88/@"
19,榮發中西藥行,九龍,大角咀,大角咀樂群街中美樓地下,平時一盒50個口罩售價30元，現在抬高價至5元一個口罩
20,仁愛藥房,九龍,大角咀,大角咀埃華街57號地下G/F,淘寶貨「救救mask」賣$70 一盒
21,天瑞中西藥房,新界,天水圍,天水圍天瑞商場1樓L106號舖,天水圍大陸口罩，禽日50，今日80
22,廣溢中西藥行有限公司,新界,天水圍,天水圍天一商城一樓,$200盒口罩
23,天匯中西藥房,新界,天水圍,天水圍天盛苑天盛商場,淘寶潔之源口罩賣80蚊一盒
24,遠東化妝城,新界,屯門,寶田商場,［救救］口罩賣88
25,春生厚參茸中西藥房,新界,將軍澳,將軍澳寶林邨寶勤樓306-307號,$150口罩
26,德華,新界,將軍澳,將軍澳唐俊街21號翩匯坊商場G6號舖,$198 口罩
27,德華藥房,新界,將軍澳,將軍澳翩匯坊,1月22日買到$129，50個；1月23日買到$199
28,榮華藥房,新界,將軍澳,將軍澳廣場L1商場,炒賣口罩
29,名城香港藥房有限公司,九龍,尖沙咀,尖沙咀加連威老道23A號,$250醫用外科口罩
30,藥皇藥粧,九龍,尖沙咀,尖沙咀加連威老道25號地下及1樓全層,
31,金馬倫道報紙檔,九龍,尖沙咀,尖沙咀金馬倫道14號門前,5蚊一張口罩
32,華興藥房,新界,屯門,屯門新墟,昨晚仲賣緊150 今日賣250
33,智文藥房,新界,屯門,屯門時代廣場,"威露士消毒洗手液賣68 一pack , 惠康賣緊70 兩pack, 第二日該藥房見有人買就加到98一 Pack"
34,華興藥房,新界,屯門,屯門良景邨良景商場3樓,囤口罩貨唔賣，炒高價
35,智文,新界,屯門,屯門時代廣場南翼3樓33-35號鋪,每盒50個要$190+
36,啟鋒中西藥房,新界,屯門,屯門湖翠路138號啟豐商場地下59C號鋪,由50蚊盒，政府一宣傳變88蚊
37,智文藥房,新界,屯門,屯門青山坊2號華樂大廈地下6及53號舖,50個口罩賣180元，襯火打劫。有人話貴，職員叫人走！
38,智文藥房,新界,屯門,屯門市廣場,3倍價錢
39,生生大藥房,新界,屯門,屯門啟民徑49號興發大廈地下5號舖(新墟街市旁),口罩$138/盒
40,成個慈雲山,九龍,慈雲山,慈雲山中心,全線鬥貴，over $80
41,華仁大藥房有限公司,九龍,旺角,九龍旺角西洋菜南街134號,3M N95 8210 $500一盒 $25一個
42,幸福中西大藥房,九龍,旺角,旺角遠景大廈山東街51A地下,98蚊50個
43,富安西藥房,九龍,旺角,旺角亞皆老街19號地下,無獨立包裝字。產地不明。無PFE BFE VFE
44,智文,九龍,旺角,Moko 商場L1樓層167-168號舖,一盒口罩賣到2-300蚊，一枝50ml洗手液賣25蚊
45,中信中西藥房,九龍,旺角,旺角西洋菜街51號B舖,假口罩 原本$68/盒 仲話平俾我 $240/4盒
46,永發辦館,九龍,旺角,旺角D3岀口 東方大廈地下,$98中國製口罩
47,美蔘中西藥業公司,新界,東涌,東涌迎東邨迎東商場16號鋪,賣防花粉防塵口罩$110@1盒（30個）冇同客人解釋不防細菌！賣救救牌黑心口罩$60@1盒
48,國城大藥房,新界,沙田,沙田好運中心,口罩賣160蚊
49,國城大藥房,新界,沙田,沙田好運中心,$200/40個
